id,score,label
tt0094602,0.16666666666666666,0
tt0488120,0.19672131147540983,0
tt0099165,0.09259259259259259,0
tt0371724,0.19672131147540983,0
tt0372784,0.043478260869565216,0
tt0113189,0.09259259259259259,0
tt0118971,0.2972972972972973,0
tt0088146,0.16666666666666666,1
tt0113243,0.16666666666666666,0
tt1046947,0.2972972972972973,0
tt1201607,0.043478260869565216,0
tt1130080,0.09259259259259259,0
tt0040636,0.16666666666666666,1
tt0220506,0.09259259259259259,0
tt0113198,0.043478260869565216,0
tt0266489,0.09259259259259259,0
tt0132910,0.043478260869565216,0
tt1045772,0.09259259259259259,0
tt0076759,0.19672131147540983,1
tt0815236,0.19672131147540983,0
tt0117891,0.19672131147540983,0
tt0118956,0.043478260869565216,0
tt0118884,0.19672131147540983,0
tt0103644,0.19672131147540983,0
tt0086122,0.2972972972972973,0
tt0108200,0.09259259259259259,0
tt0113497,0.375,0
tt0387877,0.09259259259259259,0
tt0303593,0.19672131147540983,0
tt0099892,0.19672131147540983,0
tt0094721,0.19672131147540983,0
tt0305206,0.375,1
tt0253474,0.375,1
tt1212419,0.19672131147540983,0
tt0369339,0.09259259259259259,0
tt0293508,0.375,0
tt1231277,0.19672131147540983,0
tt0120812,0.09259259259259259,0
tt0106598,0.19672131147540983,0
tt0109288,0.09259259259259259,0
tt0468569,0.043478260869565216,0
tt0335119,0.375,0
tt0116695,0.19672131147540983,1
tt0113253,0.043478260869565216,0
tt0114709,0.19672131147540983,1
tt1193138,0.19672131147540983,1
tt0359013,0.16666666666666666,0
tt0070379,0.09259259259259259,0
tt1615147,0.19672131147540983,1
tt0102975,0.19672131147540983,0
tt0102494,0.09259259259259259,0
tt0027996,0.375,1
tt0974661,0.2972972972972973,0
tt0175142,0.19672131147540983,0
tt0114436,0.09259259259259259,0
tt0056412,0.2972972972972973,0
tt0118842,0.09259259259259259,0
tt1216492,0.19672131147540983,0
tt0096446,0.2972972972972973,0
tt0111280,0.19672131147540983,0
tt2347569,0.19672131147540983,0
tt0119488,0.16666666666666666,1
tt0246578,0.043478260869565216,0
tt0368447,0.2972972972972973,0
tt0088847,0.19672131147540983,0
tt0050083,0.2972972972972973,1
tt1037705,0.2972972972972973,0
tt0096895,0.19672131147540983,0
tt0338526,0.16666666666666666,0
tt0166276,0.19672131147540983,0
tt0404390,0.09259259259259259,0
tt0199753,0.19672131147540983,0
tt0035423,0.375,0
tt0914837,0.09259259259259259,0
tt0178868,0.375,0
tt0095765,0.375,1
tt0338751,0.375,1
tt0454082,0.043478260869565216,0
tt0074958,0.09259259259259259,1
tt0157503,0.2972972972972973,0
tt0082348,0.2972972972972973,0
tt1440728,0.09259259259259259,0
tt0096438,0.16666666666666666,0
tt0124298,0.375,0
tt0099785,0.19672131147540983,0
tt0091875,0.09259259259259259,0
tt0120591,0.19672131147540983,0
tt0120915,0.375,0
tt0097742,0.09259259259259259,0
tt0100403,0.043478260869565216,0
tt0111686,0.19672131147540983,0
tt0840361,0.09259259259259259,0
tt1229822,0.2972972972972973,0
tt0091369,0.19672131147540983,0
tt0074812,0.2972972972972973,0
tt0053604,0.19672131147540983,1
tt1002561,0.19672131147540983,0
tt0120188,0.09259259259259259,0
tt0436697,0.375,1
tt0077416,0.19672131147540983,1
tt0108330,0.375,0
tt0278504,0.09259259259259259,0
tt0079945,0.19672131147540983,0
tt0780504,0.09259259259259259,0
tt0862846,0.09259259259259259,0
tt0086190,0.19672131147540983,0
tt0095016,0.19672131147540983,0
tt0349903,0.09259259259259259,0
tt1502404,0.16666666666666666,0
tt0399295,0.16666666666666666,0
tt0101889,0.19672131147540983,1
tt0057012,0.2972972972972973,1
tt0077405,0.16666666666666666,0
tt0091167,0.19672131147540983,1
tt0258153,0.19672131147540983,0
tt0113101,0.19672131147540983,0
tt0978759,0.09259259259259259,1
tt0119381,0.375,0
tt0093177,0.043478260869565216,0
tt0099871,0.375,0
tt0479884,0.09259259259259259,0
tt0977855,0.375,0
tt1441326,0.043478260869565216,0
tt0415306,0.19672131147540983,0
tt1234654,0.19672131147540983,0
tt0111282,0.375,0
tt0213149,0.375,0
tt0389790,0.19672131147540983,0
tt0093209,0.375,1
tt0775529,0.19672131147540983,1
tt0097428,0.2972972972972973,0
tt0104155,0.16666666666666666,0
tt0102266,0.19672131147540983,0
tt0765443,0.09259259259259259,0
tt0417217,0.19672131147540983,0
tt0498399,0.2972972972972973,0
tt1866249,0.2972972972972973,0
tt0795438,0.19672131147540983,0
tt1570728,0.19672131147540983,0
tt0079817,0.2972972972972973,0
tt0105128,0.043478260869565216,0
tt0180093,0.09259259259259259,0
tt0025316,0.19672131147540983,1
tt1853739,0.16666666666666666,0
tt0206275,0.19672131147540983,0
tt0183790,0.375,0
tt1315981,0.375,0
tt0423977,0.09259259259259259,0
tt0315327,0.2972972972972973,0
tt0096754,0.2972972972972973,0
tt0056923,0.16666666666666666,0
tt1010048,0.16666666666666666,1
tt0086393,0.043478260869565216,0
tt0055824,0.09259259259259259,0
tt0098724,0.09259259259259259,1
tt0099044,0.09259259259259259,0
tt0146336,0.09259259259259259,0
tt0087050,0.043478260869565216,0
tt0049730,0.375,0
tt0320691,0.043478260869565216,0
tt0119173,0.2972972972972973,0
tt0143145,0.09259259259259259,0
tt1074638,0.2972972972972973,0
tt0101272,0.16666666666666666,0
tt0276816,0.375,0
tt0175526,0.2972972972972973,0
tt0890870,0.09259259259259259,0
tt0159365,0.375,0
tt0054240,0.2972972972972973,0
tt0486822,0.19672131147540983,0
tt0475394,0.09259259259259259,0
tt0215545,0.09259259259259259,0
tt0403407,0.16666666666666666,0
tt0903624,0.375,0
tt0351977,0.19672131147540983,0
tt0167190,0.2972972972972973,0
tt0057076,0.09259259259259259,0
tt1521197,0.375,0
tt0333766,0.09259259259259259,0
tt1045670,0.19672131147540983,1
tt0104797,0.09259259259259259,0
tt0120603,0.375,0
tt0118583,0.19672131147540983,0
tt0120082,0.09259259259259259,0
tt0120347,0.16666666666666666,0
tt0111503,0.09259259259259259,0
tt1001526,0.043478260869565216,0
tt0110478,0.2972972972972973,0
tt0108160,0.2972972972972973,1
tt0106303,0.19672131147540983,0
tt0808151,0.09259259259259259,0
tt0091419,0.16666666666666666,0
tt0240510,0.2972972972972973,0
tt0338963,0.19672131147540983,0
tt0084522,0.2972972972972973,0
tt0976051,0.375,1
tt0115964,0.043478260869565216,0
tt0078841,0.2972972972972973,0
tt0277027,0.19672131147540983,0
tt0088933,0.19672131147540983,0
tt0090329,0.09259259259259259,1
